division,team_name,first_name,last_name,height,year
mens-d1,LMU (CA),Rick,Issanza,,
mens-d1,LMU (CA),Rokas,Jocius,,
mens-d1,LMU (CA),Jael,Martin,,
mens-d1,LMU (CA),Aaron,McBride,,
mens-d1,LMU (CA),Jalen,Shelley,,
mens-d1,LMU (CA),Nakyel,Shelton,,
mens-d1,LMU (CA),Cooper,Smith,,
mens-d1,LMU (CA),AJ,Thomas,,
mens-d1,LMU (CA),George,Tupy,,
mens-d1,LMU (CA),Jan,Vide,,
mens-d1,LSU,Michael,Nwoko,,
mens-d1,La Salle,Jerome,"Brewer, Jr.",,
mens-d1,Lafayette,Christian,Humphrey-Rembert,,Fr
mens-d1,Lamar University,Jayden,Barrs,,
mens-d1,Lamar University,Janko,Bulajic,,
mens-d1,Lamar University,Braden,East,,
mens-d1,Lamar University,Spencer,Ezewiro,,
mens-d1,Lamar University,Jayden,Gambrell,,
mens-d1,Lamar University,Andrew,Holifield,,
mens-d1,Lamar University,B.B.,Knight,,
mens-d1,Lamar University,Rob,"Lee, Jr.",,
mens-d1,Lamar University,Eian,Lowe,,
mens-d1,Lamar University,Cody,Pennebaker,,
mens-d1,Lamar University,Errol,White,,
mens-d1,Lamar University,King-Njhsanni,Wilhite,,
mens-d1,Little Rock,Braxton,Bayless,,
mens-d1,Little Rock,Terrion,Burgess,,
mens-d1,Little Rock,Truman,Claytor IV,,
mens-d1,Little Rock,Tuongthach,Gatkek,,
mens-d1,Little Rock,Christian,Hughes,,
mens-d1,Little Rock,Johnathan,Lawson,,
mens-d1,Little Rock,Kachi,Nzeh,,
mens-d1,Little Rock,Caleb,Pennyfeather,,
mens-d1,Little Rock,Tracy,Steele Jr.,,
mens-d1,Little Rock,Joseph,Thomas,,
mens-d1,Little Rock,Cameron,Wallace,,
mens-d1,Long Beach St.,Shaquil,Bender,,
mens-d1,Long Beach St.,JJ,Chaikovsky,,
mens-d1,Long Beach St.,Rob,Diaz,,
mens-d1,Long Beach St.,Cole,Farrell,,
mens-d1,Long Beach St.,Shay,Johnson Jr.,,
mens-d1,Long Beach St.,Christian,Jones,,
mens-d1,Long Beach St.,Leopold,Levillain,,
mens-d1,Long Beach St.,Immanuel,Lewis,,
